oai_id,title,description,subject,creator,date,type,format,language,publisher,rights,source,relation,coverage,portal_url
info:ark/67531/metapth2376,"Letter to Mary Jones, 10 February 1870",Letter from Josephine Whiteside to the widow of the last president of the Republic of Texas. The original letter is housed in the University of North Texas Archives.,Letters. | People - Individuals - Mary Jones,"Whiteside, Josephine",1870-02-10,Letter,Text,English,,Public,,,1870-02-10,https://texashistory.unt.edu/ark:/67531/metapth2376/
info:ark/67531/metapth2377,"Letter to Cromwell Jones, 25 February 1870","Letter from Mary Jones, widow of the last president of the Republic of Texas. The original letter is housed in the University of North Texas Archives.",Letters. | People - Individuals - Mary Jones,"Jones, Mary Smith McCrory",1870-02-25,Letter,Text,English,,Public,,,"Civil War and Reconstruction, 1861-1876 | 1870-02-25",https://texashistory.unt.edu/ark:/67531/metapth2377/
info:ark/67531/metapth2378,"Letter draft (partial) to Mr. Bancroft, 1887","Partial draft letter from Mary Jones, widow of the last president of the Republic of Texas. The original letter is housed in the University of North Texas Archives.",Letters. | People - Individuals - Mary Jones,"Jones, Mary Smith McCrory",1887-01-01,Letter,Text,English,,Public,,,"The Cattle Boom, 1865-1890 | 1887-01-01",https://texashistory.unt.edu/ark:/67531/metapth2378/
info:ark/67531/metapth2379,"Letter draft (partial) to Mr. Bancroft, 28 March 1889","Partial draft letter from Mary Jones, widow of the last president of the Republic of Texas. The original letter is housed in the University of North Texas Archives.",Letters. | People - Individuals - Mary Jones,"Jones, Mary Smith McCrory",1889-03-28,Letter,Text,English,,Public,,,"The Cattle Boom, 1865-1890 | 1889-03-28",https://texashistory.unt.edu/ark:/67531/metapth2379/
info:ark/67531/metapth2380,"Letter to W. Richardson, 13 July 1858","Letter from Mary Jones, widow of the last president of the Republic of Texas. The original letter is housed in the University of North Texas Archives.",Letters. | People - Individuals - Mary Jones,"Jones, Mary Smith McCrory",1858-07-13,Letter,Text,English,,Public,,,"The Texas Frontier, 1846-1861 | 1858-07-13",https://texashistory.unt.edu/ark:/67531/metapth2380/
info:ark/67531/metapth2384,"Letter to Mary Jones, 8 November 1871","Letter from Cromwell Anson Jones, son of the last president of the Republic of Texas. The original letter is housed in the University of North Texas Archives.",Letters. | People - Individuals - Mary Jones,"Jones, C. Anson",1871-11-08,Letter,Text,English,,Public,,,"Civil War and Reconstruction, 1861-1876 | 1871-11-08",https://texashistory.unt.edu/ark:/67531/metapth2384/
info:ark/67531/metapth2381,"Letter to Mary Jones, 10 August 1879","Letter from Cromwell Anson Jones, son of the last president of the Republic of Texas. The original letter is housed in the University of North Texas Archives.",Letters. | People - Individuals - Mary Jones,"Jones, C. Anson",1879-08-10,Letter,Text,English,,Public,,,"The Cattle Boom, 1865-1890 | 1879-08-10",https://texashistory.unt.edu/ark:/67531/metapth2381/
info:ark/67531/metapth2382,"Letter to Appleton & Co., 9 November 1860","Letter from Mary Jones, widow of the last president of the Republic of Texas. The original letter is housed in the University of North Texas Archives.",Letters. | People - Individuals - Mary Jones,"Jones, Mary Smith McCrory",1860-11-09,Letter,Text,English,,Public,,,"The Texas Frontier, 1846-1861 | 1860-11-09",https://texashistory.unt.edu/ark:/67531/metapth2382/
info:ark/67531/metapth2383,Anson Jones. Obituary. 1858,"Obituary of Anson Jones, the last president of the Republic of Texas, including a lengthy biography.","People - Individuals | Obituaries | Biographies | Jones, Anson, 1798-1858",,1858-01-01,Clipping,1 clipping,English,,Public,,,"United States - Texas | 1858-01-01 | The Texas Frontier, 1846-1861",https://texashistory.unt.edu/ark:/67531/metapth2383/
info:ark/67531/metapth2393,"[Letter to James H. Raymond from Sam Houston, October 1, 1943]",Letter to James H. Raymond requesting payment of $240 to L. Y. Torrey & Brothers from the Executive Contingent Fund (of which Raymond is acting treasurer). An additional note dated several weeks later notes receipt of the money.,"letters | Business, Economics and Finance | Social Life and Customs - Correspondence | Houston, Sam | receipts | bills","Houston, Sam","{1843-10-01,1843-10-20}",Letter,Text,English,,Public,,,United States - Washington D.C. | 1843-10-01/1843-10-01,https://texashistory.unt.edu/ark:/67531/metapth2393/
info:ark/67531/metapth2394,Certificate of Election,"Certificate naming Benjamin B. Peck the Clerk of the County Court in Gonzales County, Republic of Texas.","Government and Law - Elected Officials | Government and Law - Legal Documents | Peck, Benjamin B.","Republic of Texas | Jones, Anson",1845-01-01,Legal Document,[1] p.,English,,Public,,,"United States - Texas - Washington County - Washington | The Republic of Texas, 1836-1846 | 1845-01-01",https://texashistory.unt.edu/ark:/67531/metapth2394/
info:ark/67531/metapth2395,Land Grant Deed,Land grant made out to Marshall B. McKeever.,"People - Individuals | Government and Law - Legal Documents - Land Grants | Jones, Anson, 1798-1858 | deeds","Texas | Jones, Anson",1845-01-01,Legal Document,[1] p.,English,,Public,,,"United States - Texas - Travis County - Austin | The Republic of Texas, 1836-1846 | 1845-01-01",https://texashistory.unt.edu/ark:/67531/metapth2395/
info:ark/67531/metapth2396,Land Grant Deed,Land Grant,"land grants | Business, Economics and Finance - Real Estate | Government and Law - Legal Documents - Land Grants","Republic of Texas | Lamar, Mirabeau B.",1841-01-01,Text,[1] p.,English,,Public,,,"The Republic of Texas, 1836-1846 | 1841-01-01",https://texashistory.unt.edu/ark:/67531/metapth2396/
info:ark/67531/metapth2397,Texian Loan Agreement,"Certificate issued to Robert Triplett acknowledging the first installment of a payment on a loan from the Government of Texas, with details about the loan agreement.","loans | People - Individuals - Stephen F. Austin | Business, Economics and Finance | Government and Law - Legal Documents | Places - Republic of Texas | Texian loans | loan certificates | receipts",Texas,1836-01-11,Text,[1] p. : ill.,English,Texas,Public,,,"United States - Texas | The Republic of Texas, 1836-1846 | 1836-01",https://texashistory.unt.edu/ark:/67531/metapth2397/
info:ark/67531/metapth2398,Land Grant Deed,Land grant for Mary Gest signed by Sam Houston.,"Gest, Mary | Business, Economics and Finance - Real Estate | Government and Law - Legal Documents - Land Grants | Places - Republic of Texas","Republic of Texas | Houston, Sam",1842-01-01,Text,[1] p.,English,Texas. General Land Office.,Public,,,"United States - Texas | The Republic of Texas, 1836-1846 | 1842-01-01",https://texashistory.unt.edu/ark:/67531/metapth2398/
info:ark/67531/metapth2399,Land Grant Deed,Land Grant,"land grants | Business, Economics and Finance - Real Estate","State of Texas | Henderson, J. P.",1847-01-01,Text,Text,English,,Public,,,"The Texas Frontier, 1846-1861 | 1847-01-01",https://texashistory.unt.edu/ark:/67531/metapth2399/
info:ark/67531/metapth2386,"History of Texas: From Its First Settlement in 1685 to Its Annexation to the United States in 1846, Volume 2","Book describing Texas history; this second volume is broken into 14 chapters covering the start of the Republic of Texas in 1835 through annexation by the U.S. in 1846, with a number of appendices containing supplementary information.",Texas -- History -- To 1846. | Places - Republic of Texas | Government and Law | People - Individuals | histories,"Yoakum, H. (Henderson K.), 1810-1856",1855,Book,Text,English,Redfield,,,"History of Texas: From Its First Settlement in 1685 to Its Annexation to the United States in 1846, Volume 2 [e-book], ark:/67531/metapth846124","1835/1846 | United States - Texas | The Republic of Texas, 1836-1846 | Annexation, 1844-1846",https://texashistory.unt.edu/ark:/67531/metapth2386/
info:ark/67531/metapth2400,[Texas Association Certificate],"Certificate of shareholding in ""The Texas Association."" The text of the document states that the recipient of the document is entitled to one share of stock in ""The Texas Association.""","certificates | Business, Economics and Finance",,1844-01-01,Text,Text,English,The Texas Association,Public,,,"United States - Texas | Annexation, 1844-1846 | 1844-01-01",https://texashistory.unt.edu/ark:/67531/metapth2400/
info:ark/67531/metapth2401,[Galveston Bay and Texas Land Company Certificate],"This document is signed Oct. 16, 1830 by Rodman Moulton, W[illiam] H. Sumner, Geo[rge] Curtis and W. M. Willson.",Government and Law - Legal Documents - Land Grants | Places - United States - Texas - Galveston County - Galveston,"Monlton, Rodman",1830-10-16,Text,Text,English,Galveston Bay and Texas Land Company,Public,,,"United States - Texas - Galveston County - Galveston | Mexican Texas, 1821-1835 | 1830-10-16",https://texashistory.unt.edu/ark:/67531/metapth2401/
info:ark/67531/metapth2402,"[New Arkansas and Texas Land Company : [share] no. 4514 : New York, 1833 April 29]","Land certificate from the New Arkansas and Texas Land Company in printed form on onionskin paper, completed in manuscript. Signed by trustees and clerk, including Thomas Ludlow Ogden, Daniel Jackson, Edward Curtis, and James S. Huggins.",certificates | shares | Government and Law - Legal Documents | Land grants -- Texas -- History -- 19th century -- Sources. | Texas -- Colonization.,"Davis, Sylvester | Higgins, James S. | Jackson, D.",1833-04-29,Text,1 leaf : onionskin paper ; 32 x 20 cm.,English,New Arkansas and Texas Land Company,Public,,,"United States - Texas | Mexican Texas, 1821-1835 | 1833-04-29",https://texashistory.unt.edu/ark:/67531/metapth2402/
info:ark/67531/metapth2387,Thoughts on the proposed annexation of Texas to the United States,A book containing Theodor Sedgwick’s opinions about the annexation of Texas to the United States. The book contains discussions of issues that arise if Texas is annexed to the United States Union. A couple of the issues addressed are slavery and diplomatic relations between Texas and Mexico.,Slavery -- United States -- Controversial literature -- 1844. | Texas -- Annexation to the United States. | Places - Republic of Texas | Social Life and Customs - Slavery,"Sedgwick, Theodore",1844-01-01,Book,Text,English,D. Fanshaw,,,,"Annexation, 1844-1846",https://texashistory.unt.edu/ark:/67531/metapth2387/
info:ark/67531/metapth2388,A new history of Texas for schools : also for general reading and for teachers preparing themselves for examination,Texas history textbook,Texas -- History | Education - Textbooks,"Pennybacker, Anna J. Hardwicke",1895,Book,Text,English,P. V. Pennybacker,,,,"Annexation, 1844-1846",https://texashistory.unt.edu/ark:/67531/metapth2388/
info:ark/67531/metapth2688,"[Photograph of Laura Jane, John, George, and Wood Goin]","Portrait of the Goin family in 1893. Laura Jane and Wood Goin sit in ornate chairs. The man holds a baby, George Goin, in his lap. A young man, John Goin, stands behind the group.","photographs | People - Family Groups | Goin, Laura Jane | Goin, John | Goin, George | Goin, Wood","Marable, Matthew M.",1893,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939",https://texashistory.unt.edu/ark:/67531/metapth2688/
info:ark/67531/metapth2689,[Order of the Eastern Star Retirement Home in Arlington],"Photograph of the Order of the Eastern Star Retirement Home in Arlington, a two-story building with many windows. It was built in 1926.","Architecture - Buildings | Places - United States - Texas - Tarrant County | Architecture | Business, Economics and Finance - Medicine - Nursing Homes",,,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Tarrant County - Arlington | New South, Populism, Progressivism, and the Great Depression, 1877-1939 | northlimit=32.741970; eastlimit=-97.091975; southlimit=32.740649; westlimit=-97.094802;",https://texashistory.unt.edu/ark:/67531/metapth2689/
info:ark/67531/metapth2690,[Grapevine on House],Photograph of a grapevine growing across the front of a home. Ornamental woodwork is visible on the gables and eaves of the house. Lightning rods with weather vanes are visible on the roof. A picket fence stands in the foreground.,Social Life and Customs - Homes | Architecture - Buildings | Architecture | grapevines,,,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939",https://texashistory.unt.edu/ark:/67531/metapth2690/
info:ark/67531/metapth2691,[Jim Goin with an Unidentified Woman],Portrait of Jim Goin and an unidentified woman smiling at each other.,"photographs | People - Individuals | Goin, James William | Places - United States - Texas - Denton County - Aubrey",,,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939",https://texashistory.unt.edu/ark:/67531/metapth2691/
info:ark/67531/metapth2692,[Bobby Jack Goin and Lola June Goin with Unidentified Child],"Photograph of Bobby Jack Goin and Lola June Goin playing on a blanket with an unidentified child. Bent willow chairs, a potted plant, and a door are visible behind them.","photographs | People - Family Groups | People - Children | Goin, Bobby Jack | Goin, Lola June",,1942~,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | Into Modern Times, 1939-Present | 1942~",https://texashistory.unt.edu/ark:/67531/metapth2692/
info:ark/67531/metapth2693,[Horses and Buggy],Dark photograph of Wood Goin and another man on a horse-drawn cart.,"Business, Economics and Finance - Transportation - Horse-Drawn Vehicles | Goin, Wood | photographs | Places - United States - Texas - Denton County - Aubrey",,1911~,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939 | 1911~",https://texashistory.unt.edu/ark:/67531/metapth2693/
info:ark/67531/metapth2694,[Photograph of George Campbell and Ada Campbell Blackwell],"Photograph of a dark-haired woman, Ada Campbell Goin, looking out of the driver's side window of an automobile while a man wearing a boater straw hat and striped tie, George Campbell, leans on the car's door.","Business, Economics and Finance - Transportation - Automobiles | People - Groups | Campbell, George | Goin, Ada Campbell",,,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939",https://texashistory.unt.edu/ark:/67531/metapth2694/
info:ark/67531/metapth2695,[Wood Goin at the Alamo],"Photograph of Wood Goin wearing suit outside the Alamo in San Antonio, Texas.","portraits | photographs | Architecture - Landmarks - Alamo | Goin, Wood",,,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Bexar County - San Antonio | New South, Populism, Progressivism, and the Great Depression, 1877-1939",https://texashistory.unt.edu/ark:/67531/metapth2695/
info:ark/67531/metapth2696,[Photo of Wood Goin and John Smith],"Photograph of two men, Wood Goin and John Smith, standing in front of a building.","portraits | photographs | People - Individuals | Goin, Wood | Smith, John",,,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939",https://texashistory.unt.edu/ark:/67531/metapth2696/
info:ark/67531/metapth2697,[Reina Goin in Model T],"Photograph of Reina Goin looking out the passenger window of a parked automobile, while a man stands leaning on the door, with one hand on the car's roof.","Business, Economics and Finance - Transportation - Automobiles | Goin, Reina | People - Individuals",,,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939",https://texashistory.unt.edu/ark:/67531/metapth2697/
info:ark/67531/metapth2698,[Blackjack School],"Photograph of a frame building with a steeply pitched shingle roof, a chimney, and three windows. Chickens appear in the foreground.",Education - Schools - Buildings | Architecture | Places - United States - Texas - Denton County - Aubrey,,1910~,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939 | 1910~",https://texashistory.unt.edu/ark:/67531/metapth2698/
info:ark/67531/metapth2699,"[Photograph of Giles Goin, 1943]","Portrait of Giles Goin as a young man, wearing a uniform.","portraits | People - Individuals | Goin, Giles | Military and War - Uniforms and Insignia",,1943,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | Into Modern Times, 1939-Present | 1943",https://texashistory.unt.edu/ark:/67531/metapth2699/
info:ark/67531/metapth2700,[Portrait of Giles V. Goin],Portrait of Giles V. Goin with an open book. This photo was taken during his 6th grade year.,"portraits | People - Individuals | Goin, Giles V.",,1930,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939 | 1930",https://texashistory.unt.edu/ark:/67531/metapth2700/
info:ark/67531/metapth2702,[Photograph of an Embracing Couple],Photograph of Lillian and Reina Goin embracing on an outdoor bench.,"portraits | photographs | People - Individuals | Goin, Lillian | Goin, Reina",,,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939",https://texashistory.unt.edu/ark:/67531/metapth2702/
info:ark/67531/metapth2703,[Goin Family Portrait],"Photograph of four women, a man, and a boy posing in front of a tractor and trees. They are, from left to right, Reina Goin, Blanche, Bill Jones, Erma and Aunt Buelah Stewart Jones.","portraits | photographs | Places - United States - Texas - Denton County - Aubrey | Goin, Reina | Jones, Bill | Stewart-Jones, Beulah | Agriculture - Farm Equipment - Tractors",,,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Denton | Into Modern Times, 1939-Present",https://texashistory.unt.edu/ark:/67531/metapth2703/
info:ark/67531/metapth2705,[Photograph of Ina Doza Tucker and Reina Goin],Photograph of Ina Doza Tucker and Reina Goin standing outdoors in sunshine. A house is visible behind them.,"photographs | People - Groups | Tucker, Ina Doza | Goin, Reina",,,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939",https://texashistory.unt.edu/ark:/67531/metapth2705/
info:ark/67531/metapth2706,[Abner C. Stewart and Family],"Photograph of the Stewart family posing in front of a frame building with two porches and a brick chimney. The family group consists of a boy sitting astride a horse next to a standing boy and man, a woman seated with a toddler in her lap, and two girls standing.","portraits | photographs | Springhill | Social Life and Customs - Families | Stewart, Abner C. | Stewart, Alvis | Stewart, Earl | Stewart, Lizzie | Stewart, Lois | Stewart, Bessie | Stewart, Beulah",,,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Spring Hill | northlimit=33.305300; eastlimit=-96.986485; southlimit=33.304983; westlimit=-96.986609; | New South, Populism, Progressivism, and the Great Depression, 1877-1939",https://texashistory.unt.edu/ark:/67531/metapth2706/
info:ark/67531/metapth2707,[Granny Harmon's House],"Photograph of a house, with two women standing on the porch. Chickens are visible in the foreground.",Social Life and Customs - Homes | Architecture - Buildings | Architecture | Places - United States - Texas - Denton County - Aubrey | People | Agriculture - Domestic Animals - Poultry,,1910~,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939 | 1910~",https://texashistory.unt.edu/ark:/67531/metapth2707/
info:ark/67531/metapth2710,[Morris Hotel],"Photograph of the Morris Hotel with four men, two women, a child and a dog posing on the first floor porch.","Architecture - Buildings | Business, Economics and Finance - Hotels | Morris Hotel | Places - United States - Texas - Denton County - Aubrey | People - Groups",,,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939",https://texashistory.unt.edu/ark:/67531/metapth2710/
info:ark/67531/metapth2711,[Noah Jones At Family Picnic],Photograph of three men and three women with picnic foods and beverage bottles.,"photographs | People - Groups | Jones, Noah | Social Life and Customs - Customs - Picnics",,,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939",https://texashistory.unt.edu/ark:/67531/metapth2711/
info:ark/67531/metapth2712,"[School Photograph, 1912]","School photograph featuring a woman with children posed in front of a brick building. More children can be seen in the window behind the group to the left. Jim Goin sits third from left, and Lillian Goin is second from the right in the front.","portraits | photographs | Education - Schools - Classes | Education - Schools - Buildings | Goin, James William | Goin, Lillian",,4/29/1912,Photograph,1 photograph : b&w,English,,Public,,,"United States - Texas - Denton County - Aubrey | New South, Populism, Progressivism, and the Great Depression, 1877-1939 | 1912-04-29",https://texashistory.unt.edu/ark:/67531/metapth2712/
